Company Name,MMYY,Research & development expenses,MMYY,"Current assets (incl. short term investments, loans & advances)",Current liabilities,Return on total assets,Return on net worth,Return on capital employed,Current ratio (times),Quick ratio (times),Debt to equity ratio (times),Closing Price ,Market Capitalisation,Total Returns,EPS ,Size
Aarti Drugs Ltd.,Mar-11,46.3,Mar-14,5067.5,4426.4,8.37,27.43,11.12,1.08,0.71,1.43,263.4,3189.39,-0.02,48.18,8.067584955
Aarti Drugs Ltd.,Mar-12,52.1,Mar-15,5067.42,4644.03,6.21,19.2,8.08,1.07,0.68,1.33,651.75,15783.49,-0.65,31.41,9.666719736
Aarti Drugs Ltd.,Mar-13,59.1,Mar-16,5294.8,4491.8,6.57,19.35,8.63,1.08,0.63,1.17,454.5,11006.67,0.13,25.92,9.306256732
Aarti Drugs Ltd.,Mar-14,30.4,Mar-17,6971.6,5892.4,6.03,17.9,8.19,1.1,0.65,1.2,575.55,13730.95,0.17,29.89,9.527407688
Aarti Drugs Ltd.,Mar-15,30.397,Mar-18,7354.1,5477.7,6.11,17.32,8.47,1.27,0.82,0.91,506.65,11947.87,-1.31,29.77,9.388308299
Aarti Drugs Ltd.,Mar-16,38,Mar-19,7354.1,5477.7,6.11,17.32,8.47,1.27,0.82,0.91,640.45,15103.16,-0.87,35.77,9.622659272
Abbott India Ltd.,Mar-10,16.9,Mar-13,13544.7,1901.2,10.54,25.48,25.48,2.02,1.44,0,1348.6,28656.81,1.32,54.32,10.263146390
Abbott India Ltd.,Mar-11,12.2,Mar-14,16761.1,2529,10.77,25.84,25.84,1.97,1.49,0,1752.75,37244.71,2.45,68.81,10.525265200
Abbott India Ltd.,Mar-12,13.2,Mar-15,14626.9,3943.3,13.13,23.83,23.83,3.69,2.71,0,3948.4,83900.74,0.46,104.9,11.337389712
Abbott India Ltd.,Mar-13,16.2,Mar-16,19047.9,6434.1,14.67,21.17,21.17,2.9,2.1,0,4707.5,100031.09,-0.9,119.63,11.513236317
Abbott India Ltd.,Mar-14,11.7,Mar-17,22768.6,6794.6,17.55,25.82,25.81,2.97,2.04,0,4638.85,98572.32,1.74,128.62,11.498545771
Abbott India Ltd.,Mar-15,7.1,Mar-18,27721.8,8680.8,16.08,23.52,23.51,3.11,2.4,0,5449.1,115789.57,1.61,158.74,11.659529771
Abbott India Ltd.,Mar-16,7.6,Mar-19,27721.8,8680.8,16.08,23.52,23.51,3.11,2.4,0,7296.85,155052.97,0.18,204.03,11.951522079
Ajanta Pharma Ltd.,Mar-10,248.8,Mar-13,4536.5,2212.5,28.89,50.37,39.26,1.61,1.02,0.24,643.4,15066.5,-0.82,41.61,9.620229015
Ajanta Pharma Ltd.,Mar-11,374.1,Mar-14,5730.3,1805.3,31.91,47.47,41.24,2.21,1.54,0.09,1001.4,35199.91,0.19,63.95,10.468798805
Ajanta Pharma Ltd.,Mar-12,373.1,Mar-15,7100,2531.3,33.82,44.4,41.17,2.65,1.89,0.07,1225.45,107770.36,0.52,35.69,11.587757946
Ajanta Pharma Ltd.,Mar-13,499.3,Mar-16,7799.7,2171.4,31.52,38.23,37.03,3.42,2.56,0,1410.5,124125.76,3.14,48.39,11.729050524
Ajanta Pharma Ltd.,Mar-14,700.7,Mar-17,11008.1,3059.9,20.79,24.72,24.66,3.38,2.3,0,1760.3,154915.2,0.22,57.25,11.950633149
Ajanta Pharma Ltd.,Mar-15,1064.7,Mar-18,11741.7,4324.7,15.32,19.24,19.15,2.59,1.6,0.01,1405.8,123730.78,-1.12,52.37,11.725863355
Ajanta Pharma Ltd.,Mar-16,1503.3,Mar-19,15670.4,6305.7,14.51,19.38,19.19,2.48,1.75,0.06,1030.4,89906.28,0.8,48.82,11.406523073
Albert David Ltd.,Mar-10,5.8,Mar-13,1083.2,745.7,5.91,14.68,10.01,1.16,0.63,0.47,90.15,514.5,-0.11,13.44,6.243195555
Albert David Ltd.,Mar-11,13,Mar-14,1579.9,713,5.76,14.34,10.28,1.17,0.75,0.33,116,662.03,0.35,22.04,6.495310872
Albert David Ltd.,Mar-12,24.7,Mar-15,1934.5,44.8,4.7,10.62,8.71,1.48,1.11,0.15,274.9,1568.9,3.42,23.01,7.358130016
Albert David Ltd.,Mar-13,43.4,Mar-16,2347.9,1589.3,4.85,9.73,8.41,1.35,1.02,0.16,298.8,1705.3,-4.75,21.38,7.441496327
Albert David Ltd.,Mar-14,32.6,Mar-17,2428,1603.4,2.8,5.51,4.76,1.37,1.09,0.15,318.65,1818.59,0.17,27.25,7.505816755
Albert David Ltd.,Mar-15,32.5,Mar-18,2635.2,1463.6,4.64,8.81,8.23,1.67,1.37,0,364.45,2079.98,-2.03,18.66,7.640113557
Albert David Ltd.,Mar-16,26.2,Mar-19,2635.2,1463.6,4.64,8.81,8.23,1.67,1.37,0,394,2248.62,-1.51,44.37,7.718071974
Alembic Pharmaceuticals Ltd.,Mar-10,471.3,Mar-13,8312.9,3679.5,19.24,43.23,33.99,1.4,0.72,0.17,104.15,19633.93,0.24,7.01,9.885014471
Alembic Pharmaceuticals Ltd.,Mar-11,585.8,Mar-14,8471.7,5105.6,19.75,38.78,32.13,1.39,0.57,0.23,283.85,53510.24,1.18,12.49,10.887628316
Alembic Pharmaceuticals Ltd.,Mar-12,743,Mar-15,13332.1,5755.8,36.93,58.54,53.6,2.31,1.17,0.02,453.25,85444.84,0.99,15.05,11.355626301
Alembic Pharmaceuticals Ltd.,Mar-13,1164.3,Mar-16,12306.2,5486.4,17.94,25.23,24.99,2.01,0.89,0,600.6,113222.66,-0.65,36.71,11.637111601
Alembic Pharmaceuticals Ltd.,Mar-14,1090.3,Mar-17,16776.3,9001.4,13.12,20.4,17.66,1.53,0.73,0.28,623.65,117567.95,2.4,22.74,11.674771743
Alembic Pharmaceuticals Ltd.,Mar-15,2256.7,Mar-18,18381.5,12428.8,14.39,24.63,18.34,1.32,0.56,0.39,549.8,103646.05,1.38,17.77,11.548737008
Alembic Pharmaceuticals Ltd.,Mar-16,4279.1,Mar-19,21535.9,14557.2,18.34,32.22,21.96,1.33,0.57,0.53,530.55,100017.12,2.02,33.96,11.513096650
Aurobindo Pharma Ltd.,Mar-10,1394,Mar-13,50915.3,32111,14.77,33.17,18.22,1.51,0.97,0.73,145.9,42487.73,11.67,19.59,10.656970607
Aurobindo Pharma Ltd.,Mar-11,1593,Mar-14,63808.8,38601.7,16.07,32.38,19.48,1.59,1.02,0.61,510.85,148890.82,-0.3,39.56,11.910968565
Aurobindo Pharma Ltd.,Mar-12,2085.1,Mar-15,78192,53883.9,14.05,26.62,16.54,1.4,0.93,0.61,1220.2,356276.77,-0.29,51.97,12.783463152
Aurobindo Pharma Ltd.,Mar-13,2550.5,Mar-16,69388.5,44824.7,13.12,22.27,15.13,1.47,0.89,0.36,745,435951.34,0.44,27.81,12.985285911
Aurobindo Pharma Ltd.,Mar-14,3182.4,Mar-17,90097.4,57827.2,12.44,19.8,14.48,1.47,0.86,0.37,675.15,395558.51,0.12,29.08,12.888053995
Aurobindo Pharma Ltd.,Mar-15,4119,Mar-18,104531.1,67812.3,8.77,14.35,10.35,1.44,0.83,0.4,557.25,326497.02,-0.47,33.4,12.696176101
Aurobindo Pharma Ltd.,Mar-16,4963.3,Mar-19,104531.1,67812.3,8.77,14.35,10.35,1.44,0.83,0.4,786,460529.67,2.06,23.7,13.040132563
Biocon Ltd.,Mar-10,1063,Mar-13,14711,4399,10.4,14.05,13.33,2.43,1.81,0.05,274.6,54920,1.37,13.27,10.913632860
Biocon Ltd.,Mar-11,1017,Mar-14,17444,4172,11.01,14.48,13.91,3.09,2.33,0.03,424.05,84810,0.84,16.22,11.348168739
Biocon Ltd.,Mar-12,714,Mar-15,23753,8668,6.94,8.5,8.05,3.1,2.43,0.07,469.5,93900,7.87,18.06,11.449985665
Biocon Ltd.,Mar-13,705,Mar-16,23843,7110,7.07,8.29,7.92,3.83,2.93,0.03,482.1,96420,0.31,18.22,11.476468928
Biocon Ltd.,Mar-14,1011,Mar-17,20650,8389,3.07,3.55,3.46,2.73,1.96,0.02,1133.5,226700,-0.48,25.97,12.331382836
Biocon Ltd.,Mar-15,1480,Mar-18,25202,10021,2.23,2.59,2.55,2.66,1.72,0.02,594.2,356520,-1.42,6.17,12.784145618
Biocon Ltd.,Mar-16,1461,Mar-19,20871,7314,3.31,3.76,3.73,2.73,1.94,0,611,366600,0.75,5.45,12.812026614
Bliss G V S Pharma Ltd.,Mar-10,,Mar-13,4163,1106.5,10.52,19.55,15.21,1.63,1.51,0.28,26.7,2754.02,0.75,5.92,7.920816941
Bliss G V S Pharma Ltd.,Mar-11,,Mar-14,4158.3,1179.7,9.92,17.8,14.14,1.77,1.42,0.24,44.5,4590.03,-0.34,5.38,8.431641839
Bliss G V S Pharma Ltd.,Mar-12,5.4,Mar-15,3524.8,1480.5,10.55,15.9,13.09,2.48,2.13,0.19,129,13305.92,0,5.86,9.495964328
Bliss G V S Pharma Ltd.,Mar-13,18.5,Mar-16,5547.7,1518.2,9.65,13.09,11.19,2.49,1.82,0.15,126.8,13079,-1.93,6.15,9.478763169
Bliss G V S Pharma Ltd.,Mar-14,26,Mar-17,5771.9,1377.5,8.37,11.05,9.49,3.07,2.42,0.17,176.4,18195.07,-0.2,5.86,9.808905957
Bliss G V S Pharma Ltd.,Mar-15,37.85,Mar-18,5802.7,943.4,10.83,13.58,11.86,5.46,4.72,0.12,195.35,20149.7,-2.15,4.53,9.910944679
Bliss G V S Pharma Ltd.,Mar-16,36.8,Mar-19,5802.7,943.4,10.83,13.58,11.86,5.46,4.72,0.12,179.95,18561.24,1.07,8.69,9.828830814
Cadila Healthcare Ltd.,Mar-10,2543,Mar-13,21545,12373,14.38,27.06,17.86,1.17,0.74,0.44,741.35,151790.32,1.42,20.11,11.930255374
Cadila Healthcare Ltd.,Mar-11,3584,Mar-14,29336,15884,17.83,31.1,22.66,1.23,0.85,0.32,1026.4,210153.88,2.27,43.23,12.255595303
Cadila Healthcare Ltd.,Mar-12,4427,Mar-15,36773,26541,23.41,37.8,30.29,1.3,1.03,0.2,1739.3,356119.1,2.27,61.93,12.783020504
Cadila Healthcare Ltd.,Mar-13,4358,Mar-16,21569,30314,6.12,10.31,7.79,0.65,0.33,0.45,316.95,324475.22,-0.81,19.91,12.689964449
Cadila Healthcare Ltd.,Mar-14,5240,Mar-17,38751,31084,8.66,15.3,10.87,1.13,0.68,0.37,443.25,453773.91,-1.64,6.47,13.025354357
Cadila Healthcare Ltd.,Mar-15,6533,Mar-18,44778,29500,11.38,19.33,14.22,1.39,0.89,0.35,378.65,387640.14,-0.81,12.89,12.867832714
Cadila Healthcare Ltd.,Mar-16,6441,Mar-19,44778,29500,11.38,19.33,14.22,1.39,0.89,0.35,346.6,354829.19,3.23,14.76,12.779391798
Caplin Point Laboratories Ltd.,Mar-10,0,Mar-13,447.2,932.3,17.39,51.95,48.1,0.38,0.24,0.06,61.9,935.31,4.92,9.25,6.840878025
Caplin Point Laboratories Ltd.,Mar-11,5.8,Mar-14,771.1,1094.6,20.57,54.09,52.22,0.57,0.36,0.02,193,2916.23,4.75,13.47,7.978046965
Caplin Point Laboratories Ltd.,Mar-12,6.6,Mar-15,770.9,1191.8,18.88,42.18,41.4,0.87,0.66,0.02,1023.5,15465.08,6.37,22.75,9.646339858
Caplin Point Laboratories Ltd.,Mar-13,20.8,Mar-16,1367.3,970.6,24.4,43.31,42.95,1.27,0.89,0,1011.25,15279.99,0.37,38.27,9.634299408
Caplin Point Laboratories Ltd.,Mar-14,58.8,Mar-17,2132.1,873.1,28.11,41.28,41.17,2.3,1.9,0,388.1,29331.34,0.47,9.3,10.286411848
Caplin Point Laboratories Ltd.,Mar-15,75,Mar-18,2879.7,825,31.19,40.72,40.66,3.32,2.98,0,573,43320.81,-0.56,13.56,10.676388399
Caplin Point Laboratories Ltd.,Mar-16,140.9,Mar-19,2879.7,825,31.19,40.72,40.66,3.32,2.98,0,402.35,30429.83,0.14,17.11,10.323178656
Cipla Ltd.,Mar-10,2597.9,Mar-13,51557.6,21726.7,10.33,14.45,13.12,1.99,0.88,0.09,379.75,304909.39,0.01,19.51,12.627769929
Cipla Ltd.,Mar-11,3064.3,Mar-14,66226.3,32346.4,7.56,11.11,10,1.75,0.77,0.13,383.7,308080.92,-0.84,17.04,12.638117755
Cipla Ltd.,Mar-12,3638.2,Mar-15,65647.7,30518.7,8.81,12.44,11.2,2,0.91,0.09,711.2,571065.46,1.24,14.64,13.255259123
Cipla Ltd.,Mar-13,5119.3,Mar-16,64782.9,26887.8,7.88,10.17,9.6,2.26,1.13,0.03,512.2,411493.43,0.02,17.86,12.927548333
Cipla Ltd.,Mar-14,7140.4,Mar-17,80875,28810.3,8.92,11.27,11.06,2.65,1.45,0.01,592.3,476511.32,-0.9,15.66,13.074246758
Cipla Ltd.,Mar-15,7926,Mar-18,95735.6,24629.9,9.99,12.27,12.2,3.73,2.42,0,543.25,437380.99,0.05,19.31,12.988559925
Cipla Ltd.,Mar-16,9114.3,Mar-19,95735.6,24629.9,9.99,12.27,12.2,3.73,2.42,0,529.3,426457.68,0.66,18.95,12.963268415
Divi'S Laboratories Ltd.,Mar-10,159.8,Mar-13,22794,3115.7,20.03,28.32,28.06,3.59,2.1,0.01,983.7,130570.72,-1.4,48.43,11.779670275
Divi'S Laboratories Ltd.,Mar-11,188.6,Mar-14,27959.9,4521.9,17.8,25.64,25.47,3.53,2.04,0.01,1369,181713.24,0.59,59.61,12.110185119
Divi'S Laboratories Ltd.,Mar-12,240,Mar-15,30584.4,5164.5,21.69,28.01,27.77,5.74,3.44,0.01,1790.15,237614.29,-0.85,63.71,12.378404008
Divi'S Laboratories Ltd.,Mar-13,253.9,Mar-16,40403.8,6570.7,16.72,21.51,21.34,6.02,4.05,0.01,985.05,261499.82,0.33,41.78,12.474188874
Divi'S Laboratories Ltd.,Mar-14,276.6,Mar-17,45556.9,6422.7,11,15.39,15.26,6.78,4.72,0.01,624.15,165692.21,-0.05,39.57,12.017887190
Divi'S Laboratories Ltd.,Mar-15,309.2,Mar-18,46484.3,8334.6,15.47,20.57,20.31,5.3,3.23,0.02,1089.5,289228.02,0.19,32.57,12.574970653
Divi'S Laboratories Ltd.,Mar-16,431.2,Mar-19,46484.3,8334.6,15.47,20.57,20.31,5.3,3.23,0.02,1703.2,452146.09,3.05,49.36,13.021760615
Dr. Reddy'S Laboratories Ltd.,Mar-10,5457,Mar-13,89296,36347,12.39,22.11,17.29,1.99,1.58,0.29,1766.3,299982.17,0.68,65.71,12.611478319
Dr. Reddy'S Laboratories Ltd.,Mar-11,6221,Mar-14,104338,41391,9.41,16.95,13.13,2.07,1.68,0.29,2560.8,435614.79,-2.15,111.21,12.984513623
Dr. Reddy'S Laboratories Ltd.,Mar-12,6947,Mar-15,102111,43888,7.52,12.17,9.56,2.17,1.71,0.26,3487.45,594195.83,1.78,99.27,13.294964224
Dr. Reddy'S Laboratories Ltd.,Mar-13,9982,Mar-16,86009,42651,8.1,11.75,9.56,1.86,1.41,0.2,3034.9,517777.17,0.72,81.02,13.157300255
Dr. Reddy'S Laboratories Ltd.,Mar-14,11230,Mar-17,91840,47300,3.32,4.85,4,1.76,1.34,0.22,2632.5,436315.06,0.4,83.96,12.986119876
Dr. Reddy'S Laboratories Ltd.,Mar-15,12738,Mar-18,89893,31354,7.09,9.82,8.54,2.74,2.05,0.08,2082.45,345501.17,-0.94,37.42,12.752751309
Dr. Reddy'S Laboratories Ltd.,Mar-16,13654,Mar-19,101617,42355,16.26,21.17,19.42,2.29,1.74,0.1,2774.15,460691.85,2.11,75.38,13.040484660
F D C Ltd.,Mar-10,146.1,Mar-13,4503.5,1213.7,15.16,19.07,19.04,2.18,1.64,0,92.15,16663.76,0.27,7.94,9.720991581
F D C Ltd.,Mar-11,159.9,Mar-14,4983.5,1225.5,13.17,16.46,16.44,2.59,1.92,0,125.95,22398.08,-1.14,8.68,10.016730520
F D C Ltd.,Mar-12,208.2,Mar-15,5206.7,1627.5,13.89,16.69,16.67,3.09,2.25,0,151.65,26968.39,0.23,8.18,10.202420718
F D C Ltd.,Mar-13,198.7,Mar-16,9144.7,3887.8,12.09,16.24,16.21,2.31,1.94,0,185.25,32943.58,4.66,9.41,10.402551680
F D C Ltd.,Mar-14,206.1,Mar-17,9781.2,4774.1,8.74,13.28,13.24,1.96,1.61,0,204.1,36295.73,0.34,10.68,10.499455382
F D C Ltd.,Mar-15,271.6,Mar-18,10527.1,5004.7,8.49,13.01,12.99,2.03,1.67,0,251.75,43905.99,-0.65,10.49,10.689806036
F D C Ltd.,Mar-16,254.3,Mar-19,10527.1,5004.7,8.49,13.01,12.99,2.03,1.67,0,167.5,29212.52,1.12,9.68,10.282352663
Glaxosmithkline Pharmaceuticals Ltd.,Mar-10,44.3,Mar-13,26119.6,3642.3,7.62,22.7,22.65,2.94,2.49,0,2189.25,185436.08,0.81,71.22,12.130465519
Glaxosmithkline Pharmaceuticals Ltd.,Mar-11,38.3,Mar-14,28283.7,4374.4,8.13,26.55,26.5,2.06,1.71,0,2573.7,218000.15,-0.59,45.23,12.292251030
Glaxosmithkline Pharmaceuticals Ltd.,Mar-12,24,Mar-15,23655.9,7925.9,5.71,18.34,18.31,2.94,2.21,0,3402.65,288214.72,3.35,48.5,12.571461037
Glaxosmithkline Pharmaceuticals Ltd.,Mar-13,26.3,Mar-16,18257.2,8933.2,4.4,13.74,13.73,1.97,1.44,0,3800.65,321926.52,1.7,43.91,12.682078600
Glaxosmithkline Pharmaceuticals Ltd.,Mar-14,21.9,Mar-17,35278.7,29608.7,4.68,16.43,16.42,1.15,0.97,0,2735.2,231679.69,0.46,34.33,12.353111050
Glaxosmithkline Pharmaceuticals Ltd.,Mar-15,20,Mar-18,33562.1,28158.9,4.94,18.28,18.28,1.16,0.98,0,2085.4,176639.67,-2.2,37.22,12.081867174
Glaxosmithkline Pharmaceuticals Ltd.,Mar-16,19,Mar-19,31198.4,23674.3,4.45,17.01,16.83,1.3,1.09,0.02,1299.85,220202.43,0.33,23.79,12.302302539
Glenmark Pharmaceuticals Ltd.,Mar-10,569.2,Mar-13,17118.5,11396.4,10.18,15.99,13.64,1.26,1.02,0.12,462.55,125283.36,-1.93,16.48,11.738333331
Glenmark Pharmaceuticals Ltd.,Mar-11,759.6,Mar-14,38657.7,22931,17.81,30,27.34,1.41,1.04,0.08,565.9,153485.47,3.04,16,11.941361184
Glenmark Pharmaceuticals Ltd.,Mar-12,929.4,Mar-15,52883,34027.2,14.66,24.11,21.98,1.53,1.17,0.11,786,213237.52,0.23,43.45,12.270161941
Glenmark Pharmaceuticals Ltd.,Mar-13,1213.6,Mar-16,70969.6,31183,16.99,28.31,23.35,2.31,1.84,0.29,794.3,224118.22,2.29,52.63,12.319928959
Glenmark Pharmaceuticals Ltd.,Mar-14,2773.1,Mar-17,60990.6,24085.9,5.38,8.76,6.79,2.58,1.95,0.29,857.75,242029.74,-0.72,84.28,12.396815890
