Company Name,MMYY,Research & development expenses,MMYY,"Current assets (incl. short term investments, loans & advances)",Current liabilities,Return on total assets,Return on net worth,Return on capital employed,Current ratio (times),Quick ratio (times),Debt to equity ratio (times),Closing Price ,Market Capitalisation,Total Returns,EPS ,Size
Novartis India Ltd.,Mar-10,1.7,Mar-13,13135.9,1551,2.75,5.91,5.91,1.04,0.78,0,598.8,19138.13,3.75,38.74,9.859437959
Novartis India Ltd.,Mar-11,2.7,Mar-14,12193.3,1467.6,3.14,6.58,6.58,3.32,2.99,0,444.45,14204.98,1.07,17.21,9.561347886
Novartis India Ltd.,Mar-12,2.2,Mar-15,12688.7,2232.3,3.99,6.43,6.42,5.81,5.48,0,562.5,17977.95,-0.57,20.21,9.796901286
Novartis India Ltd.,Mar-13,2.2,Mar-16,11163.3,3286.1,3.15,5.29,5.28,3.42,3.11,0,648.5,20726.58,1.57,22.1,9.939172214
Novartis India Ltd.,Mar-14,0,Mar-17,11079.7,4854.4,-1.06,-2.72,-2.72,2.19,2.07,0,676.25,19030.21,0.9,19.87,9.853782995
Novartis India Ltd.,Mar-15,0,Mar-18,9931.2,3716.6,0.83,2.33,2.33,2.56,2.39,0,612.3,15118.18,-0.11,12.29,9.623653272
Novartis India Ltd.,Mar-16,0,Mar-19,10015.6,4212.2,0.59,1.68,1.61,2.21,2.06,0.09,685.8,16932.95,0.13,-11.88,9.737016707
Panacea Biotec Ltd.,Mar-10,753,Mar-13,3195.5,8287.9,-18.04,-155.57,-24.45,0.38,0.16,5.84,124.85,7647.16,-0.52,-43.71,8.942089616
Panacea Biotec Ltd.,Mar-11,1041.4,Mar-14,3361.7,6935.5,-4.91,-56.69,-6.72,0.48,0.24,9.96,94.9,5812.7,2.98,-46.74,8.667800458
Panacea Biotec Ltd.,Mar-12,1048.7,Mar-15,5257.2,7060,-3.25,-48.83,-4.57,0.7,0.35,9.4,140.1,8581.23,14.18,-13.53,9.057332539
Panacea Biotec Ltd.,Mar-13,960.6,Mar-16,4720.2,6525.2,-3.28,-22.5,-4.77,0.67,0.33,2.3,92.8,5684.07,-0.7,-9.05,8.645422804
Panacea Biotec Ltd.,Mar-14,641.6,Mar-17,4225.2,7541.3,-6.56,-33.97,-9.97,0.48,0.24,2.54,160.7,9842.99,0.47,-10.46,9.194514806
Panacea Biotec Ltd.,Mar-15,468,Mar-18,9845.3,9894.9,-14.69,-72.2,-23.48,0.98,0.04,1.65,267.1,16360.07,-3.52,-12.5,9.702598889
Panacea Biotec Ltd.,Mar-16,609.9,Mar-19,9845.3,9894.9,-14.69,-72.2,-23.48,0.98,0.04,1.65,198.2,12139.9,-3.41,-30.99,9.404252827
Pfizer Ltd.,Mar-10,103.8,Mar-13,6931.6,2146,14.1,18.36,18.36,2.23,1.63,0,1060.1,31634.91,1.02,31.37,10.362016537
Pfizer Ltd.,Mar-11,61.2,Mar-14,12744.3,4147.8,5.01,6.91,6.91,2.02,1.32,0,1264.25,37727.04,2.73,72.37,10.538132358
Pfizer Ltd.,Mar-12,175.5,Mar-15,16556.4,6815.8,10.17,13.66,13.64,2.41,1.82,0,2230.35,102033.45,1.21,19.88,11.533055980
Pfizer Ltd.,Mar-13,147.6,Mar-16,20768.5,8027.1,6.46,8.75,8.74,2.62,2.16,0,1786.55,81730.61,0.14,61.74,11.311183874
Pfizer Ltd.,Mar-14,174,Mar-17,24405.6,9782.8,9.89,13.74,13.73,2.42,2.07,0,1892.45,86575.3,2.72,43.84,11.368769834
Pfizer Ltd.,Mar-15,205.4,Mar-18,27423,9173.2,10.07,13.87,13.86,2.86,2.4,0,2185.35,99974.81,1.98,69.47,11.512673533
Pfizer Ltd.,Mar-16,275,Mar-19,27423,9173.2,10.07,13.87,13.86,2.86,2.4,0,3320.6,151909.92,0.81,90.62,11.931042993
Piramal Enterprises Ltd.,Mar-10,429.7,Mar-13,38132.4,59845.6,-1.84,-3.88,-2.53,0.24,0.18,0.65,610.4,105332.52,2.36,-6.38,11.564877482
Piramal Enterprises Ltd.,Mar-11,1842.9,Mar-14,55377.9,31914.6,3.33,6.77,4.59,0.86,0.44,0.34,544.85,94021.01,1.38,-22.16,11.451273547
Piramal Enterprises Ltd.,Mar-12,2220.4,Mar-15,35359.7,88110.7,3.59,7.9,4.53,0.34,0.15,1.13,869,149957.33,0.5,40.37,11.918106066
Piramal Enterprises Ltd.,Mar-13,2279.8,Mar-16,40774,84603.2,2.02,4.84,2.47,0.46,0.3,0.8,1036.05,178784,1.64,53.75,12.093933652
Piramal Enterprises Ltd.,Mar-14,2017.3,Mar-17,50551.2,114729.6,1.58,3.93,1.91,0.4,0.35,1.29,1902.2,328249.53,1.61,34.9,12.701529360
Piramal Enterprises Ltd.,Mar-15,742.7,Mar-18,30050.6,138225.3,0.96,2.68,1.13,0.18,0.15,1.45,2440.5,439957.9,-0.63,12.76,12.994434319
Piramal Enterprises Ltd.,Mar-16,649.1,Mar-19,31556.9,96710.2,0.98,2.23,1.16,0.29,0.24,0.58,2754.7,508096.07,2.32,40.65,13.138425823
Procter & Gamble Health Ltd.,Mar-10,24.6,Mar-13,6044.1,799.5,5.2,11.13,11.13,2.53,1.86,0,632.45,10498.28,1.93,47.27,9.258966713
Procter & Gamble Health Ltd.,Mar-11,31,Mar-14,6267.3,1033.9,3.69,8.03,8.03,2.39,1.67,0,645.45,10714.07,-0.71,27.47,9.279313110
Procter & Gamble Health Ltd.,Mar-12,53.5,Mar-15,5724,1658,4.14,9.1,9.1,2.41,1.75,0,912,15138.64,1.84,29.72,9.625005695
Procter & Gamble Health Ltd.,Mar-13,89.8,Mar-16,7632.5,3135.7,6.42,13.8,13.8,2.45,1.84,0,642.75,10669.25,0.43,30.68,9.275121051
Procter & Gamble Health Ltd.,Mar-14,110.4,Mar-17,8844.9,3574.2,6.21,13.11,13.11,2.26,1.75,0,1041.05,17280.79,0.78,56.05,9.757350759
Procter & Gamble Health Ltd.,Mar-15,121,Mar-18,18909.5,5526.7,4.12,7.54,7.54,3.28,3.07,0,1504.65,24976.26,0.5,55.18,10.125681053
Procter & Gamble Health Ltd.,Mar-16,154.6,Mar-19,,,,,,,,,3673.65,60980.32,3.25,51.6,11.018306468
R P G Life Sciences Ltd.,Mar-10,43,Mar-13,925.8,558.9,-5.57,-11.89,-8.6,1.37,0.72,0.12,62,1025.18,0.32,-5.54,6.932623486
R P G Life Sciences Ltd.,Mar-11,57,Mar-14,889.3,644,-4.31,-7.5,-6.3,1.26,0.66,0.27,60.1,993.77,2.12,-7.26,6.901505792
R P G Life Sciences Ltd.,Mar-12,73.7,Mar-15,861,671.9,4.48,7.92,6.52,1.26,0.6,0.17,165.4,2735.07,1.66,-5.69,7.913912309
R P G Life Sciences Ltd.,Mar-13,75.5,Mar-16,988.9,811.7,4.73,8.3,6.7,1.19,0.57,0.3,222.4,3677.63,-0.36,6.2,8.210023802
R P G Life Sciences Ltd.,Mar-14,88.5,Mar-17,1437.4,1218.3,4.01,7.48,5.63,1.05,0.58,0.35,449.8,7439.25,-1.63,7.04,8.914525316
R P G Life Sciences Ltd.,Mar-15,88.5,Mar-18,988,795.3,3.67,6.65,5.16,1.09,0.52,0.23,382.6,6327.83,-3.91,1.79,8.752712644
R P G Life Sciences Ltd.,Mar-16,108.1,Mar-19,988,795.3,3.67,6.65,5.16,1.09,0.52,0.23,247.75,4097.54,-0.1,5.05,8.318142073
Sanofi India Ltd.,Mar-10,36.6,Mar-13,9490.9,2770.3,14.6,20.47,20.47,1.57,0.82,0,2581.85,59461.61,4.13,76.72,10.993086173
Sanofi India Ltd.,Mar-11,40.1,Mar-14,12635.3,4369,7.72,11.38,11.38,1.65,0.89,0,3001.85,69134.47,-1.04,115.57,11.143808728
Sanofi India Ltd.,Mar-12,23.6,Mar-15,12437.8,6169.5,8.23,12.43,12.43,1.99,1.17,0,3355,77267.74,1.7,68.23,11.255031812
Sanofi India Ltd.,Mar-13,42.7,Mar-16,15768,5036,12.28,17.59,17.59,2.41,1.4,0,3999.9,92120.18,-1.46,98.78,11.430849308
Sanofi India Ltd.,Mar-14,33.3,Mar-17,18060,9639,9.42,16.74,16.74,1.81,1.35,0,4715.3,108596.29,-0.8,124.23,11.595392524
Sanofi India Ltd.,Mar-15,54,Mar-18,21650,11963,8.32,17.99,17.99,1.75,1.33,0,5163.05,118908.25,0.23,142.12,11.686107466
Sanofi India Ltd.,Mar-16,82,Mar-19,31045,16786,9.61,20.83,20.83,1.79,1.41,0,5835.15,134387.13,1.16,165.78,11.808479944
Sequent Scientific Ltd.,Mar-10,52.3,Mar-13,2435.4,4078.5,-13.21,-97.17,-19.99,0.5,0.25,6.97,129.85,3120.97,11.27,-9.93,8.045899130
Sequent Scientific Ltd.,Mar-11,56.8,Mar-14,2447.8,4269.6,-2.47,-15.19,-3.51,0.48,0.29,2.17,190,5193.69,0.8,-28.38,8.555199706
Sequent Scientific Ltd.,Mar-12,65.8,Mar-15,3038.1,1122.4,1.06,1.72,1.28,1.94,1.29,0.05,511.6,15596.22,-0.62,-5.16,9.654783856
Sequent Scientific Ltd.,Mar-13,115.4,Mar-16,3966.2,1968.7,-1.4,-1.7,-1.59,1.53,1.09,0.09,146.4,34877.78,-0.61,0.4,10.459605229
Sequent Scientific Ltd.,Mar-14,96.9,Mar-17,1533,394.5,-0.38,-0.44,-0.42,4.18,3.55,0,128.85,31405.41,-0.08,-0.69,10.354735450
Sequent Scientific Ltd.,Mar-15,86.1,Mar-18,1005.9,921,0.61,0.68,0.67,0.95,0.6,0.05,77.4,18865.18,-4.27,0.07,9.845073174
Sequent Scientific Ltd.,Mar-16,124.5,Mar-19,1005.9,921,0.61,0.68,0.67,0.95,0.6,0.05,71.85,17737.68,-1.71,-0.54,9.783446469
Shilpa Medicare Ltd.,Mar-10,14.8,Mar-13,2243.6,1427,14.17,21.63,17.32,1.33,0.59,0.21,245.65,6024.36,-1.66,18.37,8.703566529
Shilpa Medicare Ltd.,Mar-11,87.1,Mar-14,2850.1,1514.5,11.9,17.22,14.55,1.75,0.99,0.16,412.75,15183.52,2.28,21.85,9.627965908
Shilpa Medicare Ltd.,Mar-12,161.8,Mar-15,3321.7,2054.4,13.44,18.78,16.34,1.53,0.88,0.14,991.75,38232.91,3.98,21.78,10.551451942
Shilpa Medicare Ltd.,Mar-13,217.6,Mar-16,7049.6,2203.5,10.84,15.54,13.01,3.15,2.26,0.23,428.1,33007.33,0.59,14.95,10.404484937
Shilpa Medicare Ltd.,Mar-14,267.9,Mar-17,6532.3,2510.6,8.64,12.16,10.19,2.52,1.71,0.16,635.8,50944.69,4.03,16.42,10.838495813
Shilpa Medicare Ltd.,Mar-15,211.1,Mar-18,5204,2295.7,7.52,10.16,8.81,2.22,1.34,0.15,465,37910.01,-3.6,17.76,10.542970472
Shilpa Medicare Ltd.,Mar-16,230.5,Mar-19,5204,2295.7,7.52,10.16,8.81,2.22,1.34,0.15,340.2,27735.45,-1.15,15.75,10.230466657
Strides Pharma Science Ltd.,Mar-10,152.5,Mar-13,23208.8,4864.4,115.83,233.24,170.42,1.29,1.2,0.29,871.75,51475.37,5.36,5.41,10.848858720
Strides Pharma Science Ltd.,Mar-11,171,Mar-14,13564.5,4546.7,15.22,35.06,27.33,2.07,1.8,0.27,387.25,23066.79,-1.09,470.26,10.046149200
Strides Pharma Science Ltd.,Mar-12,107,Mar-15,26651.3,12643.9,3.23,6.18,4.35,2.05,1.63,0.49,1178.5,70257.01,1.89,91.3,11.159915369
Strides Pharma Science Ltd.,Mar-13,380.7,Mar-16,25964.4,14514.4,2.66,4.57,3.05,1.76,1.43,0.51,1088.5,97253.1,4,16.03,11.485072138
Strides Pharma Science Ltd.,Mar-14,360.6,Mar-17,14824.9,11205.6,1.14,1.77,1.31,1.25,0.93,0.19,1096.85,98083.62,-0.64,16.32,11.493575659
Strides Pharma Science Ltd.,Mar-15,909,Mar-18,16728.3,13982.4,0.84,1.19,0.98,1.13,0.76,0.25,672.1,60152.97,-2.75,26.42,11.004646097
Strides Pharma Science Ltd.,Mar-16,79.2,Mar-19,16728.3,13982.4,0.84,1.19,0.98,1.13,0.76,0.25,471.65,42236.01,1.44,-6.71,10.651028454
Sun Pharma Advanced Research Co. Ltd.,Mar-10,649.8,Mar-13,1101.1,381.5,14.01,24.64,18.24,2.21,0.82,0.04,113.7,26913.3,1.02,-3.72,10.200375867
Sun Pharma Advanced Research Co. Ltd.,Mar-11,989.2,Mar-14,629.4,363.9,-21.25,-33.36,-32.09,0.79,0.74,0.04,145.8,34511.51,-1.25,1.28,10.449048171
Sun Pharma Advanced Research Co. Ltd.,Mar-12,1040.4,Mar-15,,,-39.52,-108.07,-73.53,0.17,0.12,1.88,491.9,116434.92,0.55,-1.68,11.665087769
Sun Pharma Advanced Research Co. Ltd.,Mar-13,1335.4,Mar-16,1582.8,1080.3,-48.83,-126.33,-95.93,1.13,1.11,0.02,287.95,71092.39,-1.13,-2.83,11.171735578
Sun Pharma Advanced Research Co. Ltd.,Mar-14,1908.3,Mar-17,1752.3,1161.1,-78.43,-143.47,-141.23,1.1,1.08,0.01,316.7,78191.96,-0.2,-4.81,11.266922108
Sun Pharma Advanced Research Co. Ltd.,Mar-15,,Mar-18,2573.8,950.5,-38.61,-59.6,-59.12,2.38,2.33,0.01,378.35,94941.79,-2.79,-9.21,11.461019246
Sun Pharma Advanced Research Co. Ltd.,Mar-16,3037.2,Mar-19,2573.8,950.5,-38.61,-59.6,-59.12,2.38,2.33,0.01,192,50313.12,-1.26,-6.97,10.826021157
Sun Pharmaceutical Inds. Ltd.,Mar-10,1572.8,Mar-13,57133.5,35454.4,0.4,0.63,0.54,1.29,1.06,0.33,818.35,847468.49,-0.46,14.53,13.650008938
Sun Pharmaceutical Inds. Ltd.,Mar-11,1831.9,Mar-14,54969.8,89853.9,-5.51,-9.78,-7.49,0.44,0.24,0.3,573.35,1187501.83,1.75,0.23,13.987362356
Sun Pharmaceutical Inds. Ltd.,Mar-12,2725,Mar-15,54467.1,87577.5,-2.72,-4.55,-3.55,0.54,0.28,0.27,1022.25,2117247.31,1.14,-7.13,14.565627364
Sun Pharmaceutical Inds. Ltd.,Mar-13,3752.3,Mar-16,66029.3,111773.9,-0.73,-1.21,-0.95,0.52,0.29,0.29,819.45,1972193.67,0.97,-4.23,14.494657019
Sun Pharmaceutical Inds. Ltd.,Mar-14,8302.9,Mar-17,97660.9,127493,2.79,4.78,3.68,0.67,0.47,0.31,687.7,1649992.55,0.08,-1.08,14.316281331
Sun Pharmaceutical Inds. Ltd.,Mar-15,7750.2,Mar-18,113419.3,134439.9,4.74,8.21,6.34,0.73,0.5,0.28,495.4,1188624.7,-1.95,1.75,13.988307482
Sun Pharmaceutical Inds. Ltd.,Mar-16,9038.4,Mar-19,113419.3,134439.9,4.74,8.21,6.34,0.73,0.5,0.28,479.25,1149881.28,0.74,5.9,13.955169260
Suven Life Sciences Ltd.,Mar-10,311.4,Mar-13,2805.8,1169.8,34.23,68.83,46.02,1.52,1,0.34,22.9,2675.38,1.33,2.71,7.891846705
Suven Life Sciences Ltd.,Mar-11,330.5,Mar-14,4770,1145.6,17.54,26.99,21.71,3.49,2.85,0.2,71.9,8399.99,1.34,12.34,9.035985794
Suven Life Sciences Ltd.,Mar-12,346.9,Mar-15,5269.6,2047.1,11.93,17.05,14.67,2.38,1.97,0.13,288.3,36695.54,-1.03,8.68,10.510410501
Suven Life Sciences Ltd.,Mar-13,479.5,Mar-16,5766.3,2039.8,12.81,18.21,16.36,2.69,2.21,0.1,192.8,24540.06,-1.25,7.89,10.108062163
Suven Life Sciences Ltd.,Mar-14,559.6,Mar-17,6669.5,2218.5,14.53,19.69,18.48,2.8,2.13,0.04,165.65,21084.34,-0.33,9.69,9.956285864
Suven Life Sciences Ltd.,Mar-15,621.7,Mar-18,7733.1,2728.3,12.03,16.1,15.5,2.61,2.02,0.04,167.8,21358,-3.29,10.68,9.969181656
Suven Life Sciences Ltd.,Mar-16,649.4,Mar-19,7733.1,2728.3,12.03,16.1,15.5,2.61,2.02,0.04,260.9,33208,-0.44,8.51,10.410546090
Torrent Pharmaceuticals Ltd.,Mar-10,1385.7,Mar-13,26985.1,10277.5,18.76,36.98,25.15,2.3,1.65,0.5,695.25,58826.05,0.36,63.43,10.982340063
Torrent Pharmaceuticals Ltd.,Mar-11,1334.3,Mar-14,27414.8,11439.4,11.22,24.57,14.17,2.07,1.41,0.94,523.65,88613.48,-1.34,43.06,11.392039269
Torrent Pharmaceuticals Ltd.,Mar-12,1263,Mar-15,31543,15184.5,24.38,53.12,30.38,2,1.31,0.61,1160.85,196442.19,1.37,36.27,12.188123469
Torrent Pharmaceuticals Ltd.,Mar-13,1454.7,Mar-16,36218.1,12307.4,10.77,20.93,13.25,2.96,2.01,0.55,1339.7,226707.68,-1.45,100.66,12.331416713
Torrent Pharmaceuticals Ltd.,Mar-14,1658.7,Mar-17,37265,30749.1,4.6,10.7,5.56,1.13,0.67,1.29,1549.25,262168.3,4.08,50.48,12.476741943
Torrent Pharmaceuticals Ltd.,Mar-15,2181.3,Mar-18,37677.7,31066.4,5.87,15.58,7.08,1.16,0.69,1.12,1247.9,211173.03,-0.97,22.23,12.260433124
Torrent Pharmaceuticals Ltd.,Mar-16,3728.8,Mar-19,38571.1,34253.3,7.29,18.52,8.89,1.07,0.6,1.04,1952.2,330356.59,0.89,47.34,12.707927926
Unichem Laboratories Ltd.,Mar-10,405.3,Mar-13,5691.2,1814.7,10.04,13.82,13.57,2.26,1.21,0,172.85,15635.4,1.47,13.46,9.657292853
Unichem Laboratories Ltd.,Mar-11,397,Mar-14,5506.2,1789.6,5.19,6.9,6.9,2.38,1.35,0,229.25,20783.25,2.05,13.1,9.941902653
Unichem Laboratories Ltd.,Mar-12,376.8,Mar-15,6359.4,2895.6,9.57,12.82,12.76,1.98,1.21,0.01,203.6,18480.51,2.23,7.04,9.824471942
Unichem Laboratories Ltd.,Mar-13,538.5,Mar-16,6950.6,3096.1,-4.25,-5.81,-5.79,1.96,1.07,0,221.95,20162.65,0.25,13.92,9.911587162
Unichem Laboratories Ltd.,Mar-14,464.2,Mar-17,22258.7,3096.9,-5.32,-6.42,-6.42,7,6.25,0,286.25,26013.41,0.12,-6.9,10.166367453
Unichem Laboratories Ltd.,Mar-15,489.5,Mar-18,18598.6,2782.7,0.57,0.65,0.65,6.14,5.03,0,286.1,20123.42,-1.4,339.27,9.909639590
Unichem Laboratories Ltd.,Mar-16,692,Mar-19,18598.6,2782.7,0.57,0.65,0.65,6.14,5.03,0,194.6,13696.58,-1.39,-378.6,9.524901446
Vivimed Labs Ltd.,Mar-10,122.2,Mar-13,5630.3,3906.8,2.47,7.41,2.96,0.95,0.48,1.7,280.2,4500.27,-0.34,24.05,8.411892674
Vivimed Labs Ltd.,Mar-11,213.7,Mar-14,6328.8,4384.7,1.51,5.07,1.82,1.07,0.53,1.87,177,2868.07,2.67,16.43,7.961394609
Vivimed Labs Ltd.,Mar-12,121,Mar-15,6328.86,4565,0.61,2.18,0.79,1.24,0.54,1.62,367.6,5956.51,1.55,11.69,8.692240018
Vivimed Labs Ltd.,Mar-13,138.5,Mar-16,7833.3,5051.3,9.4,28.34,12.26,1.23,0.51,1.09,415.7,6735.91,-0.36,4.99,8.815208195
Vivimed Labs Ltd.,Mar-14,110.6,Mar-17,6586.1,4023.8,0.78,1.88,0.95,1.46,0.47,0.84,106.45,8624.46,2.75,15.59,9.062357631
Vivimed Labs Ltd.,Mar-15,110.6,Mar-18,6254.5,3418.3,0.53,1.16,0.67,1.6,0.45,0.65,71.05,5863.32,-3.33,10.66,8.676471275
Vivimed Labs Ltd.,Mar-16,711.7,Mar-19,6254.5,3418.3,0.53,1.16,0.67,1.6,0.45,0.65,23.4,1931.06,1.96,1.02,7.565824354